timestamp,ego_x,ego_y,opp_x,opp_y,distance,ego_speed,opp_speed,ego_laps,opp_laps
1776209630.959501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.0059364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.0559814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.1139758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.16596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.2065008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.2570763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.308345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.3621955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.4112182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.4624808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.5084782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.5636296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.606594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.6623373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.7151787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.7652023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.8061109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.8639326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.9074235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209631.9560444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.047241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.0968437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.13731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.2032213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.2466052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.2984374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.3284898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.359766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.4066794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.4835844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.5139656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.604445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.7103305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.756866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.840807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.894971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.9462743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209632.9788485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.0063317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.0585625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.1061316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.1566782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.2061582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.2571747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.3060997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.3560584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.4086442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.463403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.506284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.556125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.6087162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.6629915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.7062523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.7587447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.810033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.8562217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.9062257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209633.960212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.0062184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.0560505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.1175797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.1634166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.218724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.2610419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.311777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.3562028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.4132848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.4560905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.5577905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.6269677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.6638994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.7060304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.756735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.8065598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.8571007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.9092638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209634.9596786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.0060515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.0561202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.1060815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.1582365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.207312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.2595534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.3074362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.356004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.4061387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.462572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.5071666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.5599675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.606305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.6599975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.71316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.7561507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.8073387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.8569574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.9078736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1776209635.9604664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
